Tour,Commonality with MSA heuristic,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,5,1,8,48,51,11,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,6,14,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,41,27,31,42,2,3,43,40]",68.06,33.33,40.86,45.83
"[0,40,39,41,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,8,48,51,11,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,2,42,43,3]",68.06,33.33,40.47,44.44
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,5,1,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,33.33,40.43,44.44
"[0,8,48,11,51,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,33.33,40.43,44.44
"[0,48,8,11,51,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,13,27,31,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,41,42,2,3,43,40]",68.06,33.33,40.34,44.44
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,1,5,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,39,41,42,2,3,43,40]",68.06,33.33,40.32,44.44
"[0,1,5,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,6,14,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,42,2,3,43,40]",68.06,33.33,40.08,44.44
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,31.94,39.27,44.44
"[0,40,41,39,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,2,42,43,3]",68.06,31.94,39.16,43.06
"[0,8,48,51,11,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,31.94,39.12,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,5,1,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,31.94,39.12,43.06
"[0,40,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,8,48,51,11,10,50,49,9,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,2,42,43,3]",68.06,31.94,39.12,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,31.94,39.12,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,5,1,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,31.94,39.08,43.06
"[0,3,43,42,2,6,14,15,7,10,50,51,11,8,48,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,1,5,19,13,27,31,30,18,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,41,40]",68.06,31.94,38.93,43.06
"[0,6,14,15,7,10,50,11,51,48,8,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,5,1,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,38.23,43.06
"[0,3,43,42,2,5,1,8,48,11,51,50,10,9,49,46,54,55,47,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,6,14,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,31,27,41,39,40]",68.06,30.56,38.12,41.67
"[0,3,43,42,2,5,1,8,48,51,11,10,50,49,9,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,6,14,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,41,39,40]",68.06,30.56,38.08,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,41,39,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,31.94,38.08,41.67
"[0,40,39,41,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,5,1,2,42,43,3]",68.06,31.94,38.08,41.67
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,5,1,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,31.94,38.04,41.67
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,37.96,43.06
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,37.92,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,5,1,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,37.92,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,41,39,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,37.92,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,37.81,41.67
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,37.77,41.67
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,41,39,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,37.77,41.67
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,5,1,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,37.73,41.67
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,41,39,42,2,3,43,40]",68.06,30.56,37.69,41.67
"[0,48,8,11,51,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,5,1,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,41,39,42,2,3,43,40]",68.06,30.56,37.65,41.67
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,5,1,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,27,31,42,2,3,43,40]",68.06,30.56,37.58,41.67
"[0,40,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,8,48,51,11,50,10,9,49,46,54,55,47,44,52,59,53,45,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,2,42,43,3]",68.06,31.94,37.09,40.28
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,36.92,41.67
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,41,39,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,36.73,40.28
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,41,39,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,30.56,36.73,40.28
"[0,40,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,6,14,15,7,10,50,51,11,8,48,9,49,46,54,55,47,44,52,45,59,53,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,1,5,2,42,43,3]",68.06,30.56,36.73,40.28
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,41,39,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,29.17,36.61,41.67
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,41,39,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,29.17,36.57,41.67
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,5,1,41,39,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,29.17,36.54,41.67
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,29.17,36.42,40.28
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,29.17,35.38,38.89
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,41,39,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,29.17,35.38,38.89
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,23,63,12,4,7,15,14,6,5,1,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,27.78,35.34,41.67
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,41,39,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,27.78,34.18,38.89
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,41,39,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",68.06,27.78,34.03,37.50
"[0,40,41,39,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,5,1,6,14,15,7,10,50,51,11,8,48,49,9,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,62,22,23,63,12,4,2,42,43,3]",68.06,25.00,31.79,37.50
"[0,3,43,42,2,8,48,51,11,10,50,9,49,46,54,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,39,41,40]",66.67,36.11,43.02,47.22
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,39,41,42,2,3,43,40]",66.67,33.33,40.39,44.44
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,33.33,40.39,44.44
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,5,1,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,33.33,40.35,44.44
"[0,5,8,48,51,11,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,39,41,42,2,3,43,40]",66.67,33.33,40.14,44.44
"[0,40,3,43,42,2,5,1,39,41,36,24,25,37,38,26,27,31,35,71,32,68,69,33,34,70,58,66,65,57,56,64,67,53,59,45,44,52,55,47,46,54,63,23,22,62,61,21,20,60,28,16,17,29,30,18,13,19,14,6,7,15,12,4,9,49,50,10,11,51,48,8]",66.67,34.72,39.54,44.44
"[0,6,14,15,7,10,50,11,51,48,8,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,5,1,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.51,44.44
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,39,41,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,33.33,39.43,43.06
"[0,8,48,51,11,50,10,9,49,46,54,55,47,44,52,45,59,53,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,39,41,42,2,3,43,40]",66.67,33.33,39.31,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.20,44.44
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,5,1,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.16,44.44
"[0,40,41,39,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,8,48,51,11,10,50,49,9,46,54,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,1,5,2,42,43,3]",66.67,31.94,39.16,44.44
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,5,1,39,41,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.12,43.06
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,5,1,39,41,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.08,43.06
"[0,8,48,51,11,10,50,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.08,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,5,1,39,41,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.08,43.06
"[0,8,48,11,51,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,31,27,41,39,42,2,3,43,40]",66.67,31.94,39.08,43.06
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.04,43.06
"[0,8,48,51,11,10,50,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.04,43.06
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,5,1,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.00,43.06
"[0,8,48,51,11,10,50,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,5,1,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.00,43.06
"[0,8,48,51,11,10,50,49,9,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,5,1,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.00,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,5,1,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.00,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,1,5,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,38,26,27,31,39,41,42,2,3,43,40]",66.67,31.94,38.97,43.06
