Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,4,15,17,16,20,18,19,12,13,14,34,33,31,32,10,8,9,11,5,7,6,29,30,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",54.76,30.95,35.05,40.48
"[0,4,16,17,15,20,19,18,12,13,14,33,34,32,31,8,11,9,10,7,5,6,30,29,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",54.76,26.19,32.45,38.10
"[0,4,15,16,17,18,19,20,12,14,13,34,33,32,31,8,9,10,11,5,7,6,29,30,27,28,3,1,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",54.76,30.95,36.99,42.86
"[0,4,15,17,16,20,19,18,12,13,14,34,33,32,31,10,8,9,11,5,7,6,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",54.76,21.43,27.91,33.33
"[0,4,17,15,18,19,20,16,12,14,13,33,34,31,32,8,10,9,11,6,5,7,29,30,27,28,3,1,2,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",54.76,33.33,39.15,42.86
"[0,4,17,16,15,18,20,19,12,13,14,34,33,31,32,8,11,9,10,6,5,7,30,29,27,28,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",54.76,30.95,36.88,40.48
"[0,4,15,17,16,18,20,19,13,12,14,34,33,32,31,11,8,9,10,7,6,5,29,30,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",54.76,26.19,32.50,38.10
"[0,4,15,16,17,18,19,20,12,13,14,33,34,32,31,9,8,10,11,5,6,7,29,30,28,27,1,3,2,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",54.76,30.95,36.99,42.86
"[0,4,17,15,16,18,19,20,12,14,13,34,33,31,32,10,8,9,11,5,7,6,29,30,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",54.76,30.95,36.93,40.48
"[0,4,15,16,17,18,19,20,12,14,13,34,33,32,31,8,10,9,11,5,7,6,30,29,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",54.76,26.19,32.67,38.10
"[0,4,15,16,17,19,20,18,14,12,13,34,33,31,32,8,9,11,10,6,5,7,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",54.76,23.81,30.23,35.71
"[0,4,15,17,16,18,20,19,12,14,13,34,33,31,32,11,9,8,10,7,6,5,30,29,27,28,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",54.76,28.57,34.72,38.10
"[0,4,15,16,17,19,20,18,12,13,14,34,33,32,31,11,10,8,9,5,6,7,30,29,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",54.76,26.19,32.39,35.71
"[0,4,15,16,17,19,20,18,12,13,14,33,34,32,31,8,11,10,9,7,6,5,30,29,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",54.76,21.43,28.02,33.33
"[0,4,16,15,17,18,19,20,12,13,14,34,33,31,32,9,11,10,8,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",54.76,23.81,30.23,35.71
"[0,4,15,16,17,20,19,18,13,12,14,34,33,31,32,8,9,10,11,5,7,6,29,30,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",54.76,26.19,32.45,38.10
"[0,4,15,16,17,18,20,19,14,12,13,34,33,32,31,10,11,9,8,7,6,5,30,29,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",54.76,21.43,27.96,33.33
"[0,4,15,17,16,19,18,20,14,12,13,33,34,32,31,8,9,10,11,5,7,6,30,29,27,28,1,3,2,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",54.76,28.57,34.72,40.48
"[0,4,16,15,18,20,19,17,12,13,14,34,33,32,31,8,9,11,10,7,5,6,30,29,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,26.19,32.39,38.10
"[0,4,17,15,18,20,19,16,12,14,13,33,34,32,31,8,10,9,11,7,5,6,30,29,28,27,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,28.57,34.66,40.48
"[0,4,15,16,17,18,19,20,12,13,14,34,33,31,32,11,10,8,9,7,5,6,30,29,28,27,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,28.57,34.72,38.10
"[0,4,15,16,17,19,18,20,12,13,14,33,34,32,31,11,8,9,10,5,7,6,29,30,27,28,3,1,2,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",57.14,33.33,39.26,42.86
"[0,4,15,17,16,18,20,19,14,13,12,34,33,32,31,8,9,10,11,7,6,5,30,29,28,27,2,1,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,21.43,28.02,33.33
"[0,4,15,16,17,20,18,19,14,13,12,33,34,32,31,8,9,11,10,5,7,6,29,30,27,28,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,30.95,36.99,42.86
"[0,4,15,17,16,18,20,19,14,12,13,33,34,32,31,10,8,11,9,7,5,6,29,30,27,28,3,2,1,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,30.95,38.43,42.86
"[0,4,15,17,16,19,18,20,13,12,14,34,33,31,32,9,11,8,10,5,7,6,29,30,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,30.95,35.05,38.10
"[0,4,15,16,17,20,19,18,13,12,14,33,34,32,31,8,9,10,11,5,7,6,30,29,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",57.14,23.81,30.79,35.71
"[0,4,15,16,17,20,18,19,12,13,14,34,33,32,31,11,10,8,9,5,7,6,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,30.95,35.05,38.10
"[0,4,17,16,15,18,20,19,13,12,14,33,34,31,32,8,11,10,9,5,7,6,29,30,28,27,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,30.95,36.99,40.48
"[0,4,16,15,17,18,19,20,14,13,12,34,33,31,32,11,8,9,10,6,5,7,29,30,27,28,3,2,1,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,28.57,34.77,38.10
"[0,4,16,15,17,19,20,18,12,13,14,33,34,31,32,8,9,11,10,6,5,7,30,29,27,28,3,1,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,30.95,37.04,40.48
"[0,4,15,16,17,20,18,19,12,14,13,33,34,32,31,8,10,9,11,5,7,6,30,29,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,28.57,34.77,40.48
"[0,4,15,16,17,18,19,20,12,13,14,34,33,31,32,9,11,8,10,5,6,7,30,29,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,30.95,36.99,40.48
"[0,4,17,15,18,20,19,16,12,13,14,33,34,31,32,11,8,10,9,5,6,7,29,30,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,30.95,36.93,42.86
"[0,4,16,17,15,18,20,19,12,13,14,34,33,32,31,8,9,10,11,5,6,7,29,30,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,28.57,34.66,40.48
"[0,4,15,16,17,20,18,19,12,14,13,34,33,31,32,9,8,10,11,7,6,5,29,30,28,27,1,2,3,36,37,38,39,41,42,40,26,24,25,21,22,23,35]",57.14,28.57,34.77,40.48
"[0,4,15,16,17,18,19,20,12,13,14,34,33,31,32,9,8,11,10,5,7,6,29,30,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,30.95,37.04,42.86
"[0,4,17,15,16,18,19,20,13,12,14,34,33,32,31,11,10,8,9,7,6,5,29,30,27,28,3,1,2,36,37,38,39,40,41,42,26,24,25,21,23,22,35]",57.14,28.57,34.99,40.48
"[0,4,15,16,17,19,18,20,12,13,14,33,34,31,32,10,8,11,9,5,6,7,29,30,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,33.33,39.26,42.86
"[0,4,15,16,17,20,18,19,12,14,13,33,34,31,32,10,8,9,11,6,5,7,29,30,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,30.95,37.10,42.86
"[0,4,16,17,15,18,19,20,14,12,13,34,33,32,31,11,9,10,8,5,7,6,30,29,27,28,2,1,3,36,37,38,39,41,42,40,26,24,25,21,22,23,35]",57.14,23.81,30.34,35.71
"[0,4,16,15,17,18,19,20,12,13,14,33,34,32,31,10,8,11,9,6,7,5,30,29,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",57.14,26.19,32.78,38.10
"[0,4,17,15,18,20,19,16,12,13,14,33,34,31,32,10,8,9,11,5,6,7,29,30,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,33.33,39.37,42.86
"[0,4,17,15,16,18,20,19,12,13,14,33,34,31,32,11,8,9,10,5,7,6,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,30.95,37.04,42.86
"[0,4,17,15,16,20,19,18,12,13,14,34,33,32,31,9,10,11,8,5,6,7,30,29,27,28,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,23.81,30.45,35.71
"[0,4,15,17,16,18,19,20,14,12,13,33,34,31,32,8,9,10,11,7,5,6,30,29,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,33.33,39.26,42.86
"[0,4,15,16,17,18,19,20,14,12,13,33,34,31,32,8,9,10,11,7,6,5,30,29,28,27,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,28.57,34.77,38.10
"[0,4,17,15,16,20,18,19,12,13,14,34,33,32,31,8,9,11,10,5,6,7,29,30,27,28,3,1,2,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",57.14,28.57,34.77,40.48
"[0,4,17,15,16,20,18,19,14,13,12,34,33,31,32,10,9,8,11,5,7,6,30,29,27,28,2,1,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,26.19,32.45,35.71
"[0,4,17,15,16,19,18,20,13,14,12,33,34,32,31,11,9,10,8,6,7,5,29,30,27,28,1,2,3,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",57.14,30.95,36.88,40.48
"[0,4,16,15,17,18,19,20,14,12,13,34,33,31,32,9,11,10,8,5,7,6,30,29,27,28,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,28.57,34.99,40.48
"[0,4,17,15,16,19,18,20,12,13,14,33,34,31,32,9,8,11,10,6,5,7,30,29,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,28.57,34.83,40.48
"[0,4,15,17,16,18,20,19,14,12,13,34,33,32,31,8,9,10,11,6,5,7,30,29,27,28,1,3,2,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",57.14,28.57,34.83,40.48
"[0,4,16,15,17,18,20,19,12,13,14,33,34,32,31,8,10,11,9,5,7,6,30,29,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,30.95,37.04,42.86
"[0,4,16,15,17,19,18,20,14,12,13,33,34,32,31,8,10,11,9,7,6,5,30,29,27,28,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,28.57,34.83,40.48
"[0,4,17,15,16,18,19,20,13,14,12,33,34,32,31,8,10,11,9,7,5,6,29,30,27,28,2,1,3,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",57.14,30.95,36.99,42.86
"[0,4,17,15,18,20,19,16,12,14,13,34,33,32,31,8,11,9,10,5,7,6,30,29,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,26.19,32.39,38.10
"[0,4,15,17,16,20,18,19,13,12,14,34,33,31,32,11,8,10,9,7,6,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,26.19,32.56,38.10
"[0,4,17,15,16,18,19,20,12,13,14,34,33,32,31,8,9,11,10,7,5,6,30,29,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,28.57,32.83,38.10
"[0,4,15,17,16,20,18,19,14,12,13,34,33,32,31,9,8,10,11,5,6,7,29,30,27,28,3,1,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,28.57,34.94,38.10
"[0,4,15,16,17,18,19,20,12,14,13,33,34,31,32,11,8,9,10,7,6,5,29,30,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,23,22,35]",57.14,30.95,37.38,42.86
"[0,4,16,17,15,19,18,20,12,13,14,33,34,31,32,8,10,11,9,5,7,6,29,30,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,33.33,39.26,42.86
"[0,4,15,16,17,20,18,19,13,14,12,33,34,31,32,9,8,10,11,5,6,7,30,29,27,28,1,2,3,36,37,38,39,41,42,40,26,24,25,21,23,22,35]",57.14,28.57,34.99,40.48
"[0,4,15,16,17,19,18,20,13,12,14,34,33,31,32,8,9,11,10,7,6,5,29,30,27,28,2,1,3,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",57.14,30.95,36.99,40.48
"[0,4,15,16,17,18,19,20,13,12,14,33,34,32,31,11,8,10,9,5,7,6,30,29,28,27,2,1,3,36,37,38,39,41,42,40,26,24,25,21,23,22,35]",57.14,23.81,30.51,35.71
"[0,4,16,15,17,18,19,20,12,13,14,33,34,31,32,8,9,10,11,6,7,5,29,30,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,33.33,39.26,45.24
"[0,4,17,16,15,18,19,20,13,12,14,34,33,32,31,8,9,11,10,5,7,6,29,30,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,28.57,34.72,40.48
"[0,4,15,16,17,18,20,19,12,13,14,33,34,31,32,9,8,11,10,5,7,6,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,35.71,41.53,45.24
"[0,4,17,15,16,19,18,20,13,12,14,33,34,32,31,8,9,11,10,6,7,5,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,23.81,30.29,35.71
"[0,4,15,16,17,18,20,19,13,12,14,34,33,31,32,10,8,11,9,5,7,6,29,30,27,28,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,33.33,39.26,42.86
"[0,4,16,15,17,20,19,18,12,14,13,33,34,31,32,9,8,10,11,6,5,7,30,29,27,28,2,1,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,30.95,37.04,40.48
"[0,4,15,16,17,18,20,19,14,12,13,34,33,31,32,8,10,9,11,6,5,7,29,30,28,27,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",57.14,28.57,34.99,38.10
"[0,4,17,15,16,20,18,19,14,13,12,34,33,31,32,11,8,9,10,7,5,6,29,30,27,28,3,1,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,28.57,34.72,38.10
"[0,4,15,17,16,18,19,20,12,14,13,34,33,31,32,9,10,8,11,7,6,5,29,30,27,28,1,2,3,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",57.14,30.95,37.32,42.86
"[0,4,16,15,17,20,18,19,12,13,14,33,34,31,32,10,8,9,11,5,7,6,29,30,27,28,2,1,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",57.14,33.33,39.26,42.86
"[0,4,15,17,16,18,19,20,13,12,14,33,34,31,32,9,8,10,11,6,5,7,29,30,27,28,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,33.33,39.31,42.86
"[0,4,15,16,17,20,18,19,12,14,13,33,34,31,32,11,8,10,9,5,7,6,30,29,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,30.95,36.99,40.48
"[0,4,17,16,15,20,18,19,12,13,14,33,34,31,32,10,8,11,9,7,6,5,30,29,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,26.19,32.50,35.71
"[0,4,17,15,16,18,20,19,13,12,14,33,34,31,32,11,9,8,10,7,5,6,29,30,27,28,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,33.33,39.26,42.86
"[0,4,16,15,17,18,19,20,14,12,13,33,34,32,31,8,9,11,10,5,6,7,30,29,27,28,1,2,3,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",57.14,28.57,33.17,38.10
"[0,4,16,15,17,18,19,20,12,13,14,34,33,31,32,8,11,10,9,6,5,7,29,30,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",57.14,28.57,34.83,40.48
"[0,4,17,16,15,18,19,20,14,12,13,34,33,31,32,9,8,10,11,7,6,5,30,29,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,26.19,32.50,38.10
"[0,4,17,15,16,19,18,20,13,12,14,34,33,32,31,8,10,11,9,5,7,6,30,29,27,28,1,2,3,36,37,38,39,40,41,42,26,24,25,21,23,22,35]",59.52,26.19,32.89,38.10
"[0,4,16,15,17,18,19,20,13,12,14,34,33,31,32,10,11,8,9,5,7,6,29,30,27,28,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,33.33,39.31,42.86
"[0,4,15,17,16,20,18,19,12,13,14,34,33,32,31,10,8,9,11,5,6,7,30,29,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,28.57,34.77,38.10
"[0,4,15,17,16,20,18,19,12,13,14,34,33,31,32,9,8,10,11,5,7,6,29,30,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,33.33,39.31,42.86
"[0,4,17,15,16,18,20,19,12,14,13,33,34,31,32,10,8,9,11,6,5,7,30,29,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,33.33,37.43,40.48
"[0,4,17,15,18,19,20,16,14,12,13,33,34,32,31,11,10,9,8,5,6,7,30,29,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,26.19,32.67,38.10
"[0,4,15,17,16,19,18,20,13,12,14,34,33,31,32,8,10,9,11,6,5,7,30,29,28,27,1,3,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",59.52,28.57,34.88,40.48
"[0,4,16,17,15,18,19,20,12,14,13,34,33,31,32,11,10,9,8,5,7,6,30,29,28,27,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,26.19,32.67,38.10
"[0,4,17,15,16,18,19,20,12,14,13,34,33,31,32,10,8,11,9,5,7,6,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,28.57,34.83,40.48
"[0,4,15,16,17,18,19,20,14,12,13,33,34,31,32,8,9,10,11,7,6,5,29,30,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,35.71,41.58,45.24
"[0,4,16,17,15,18,19,20,12,14,13,34,33,31,32,9,8,10,11,6,5,7,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,26.19,32.50,38.10
"[0,4,17,15,18,20,19,16,13,12,14,34,33,31,32,10,8,9,11,5,6,7,29,30,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,30.95,36.99,40.48
"[0,4,15,16,17,20,18,19,14,12,13,34,33,31,32,9,11,10,8,5,6,7,29,30,28,27,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,26.19,32.78,38.10
"[0,4,15,17,16,20,18,19,13,12,14,34,33,32,31,9,8,10,11,5,7,6,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,23,22,35]",59.52,28.57,35.11,40.48
"[0,4,15,17,16,20,18,19,13,12,14,34,33,31,32,10,11,9,8,7,6,5,30,29,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,26.19,32.56,35.71
"[0,4,17,15,16,20,18,19,13,12,14,33,34,31,32,8,10,9,11,6,5,7,29,30,27,28,2,1,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",59.52,33.33,39.59,42.86
"[0,4,17,15,16,20,18,19,14,12,13,34,33,32,31,8,10,9,11,5,7,6,30,29,27,28,2,1,3,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",59.52,26.19,32.56,38.10
"[0,4,17,15,16,19,18,20,12,14,13,33,34,32,31,8,9,11,10,5,6,7,29,30,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,30.95,35.22,40.48
"[0,4,15,18,19,20,17,16,13,12,14,34,33,32,31,8,9,10,11,5,7,6,30,29,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,28.57,34.72,40.48
"[0,4,16,15,17,18,19,20,13,12,14,34,33,32,31,8,9,10,11,7,6,5,30,29,27,28,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,26.19,32.61,38.10
"[0,4,17,15,16,18,19,20,14,12,13,33,34,32,31,8,11,9,10,5,6,7,30,29,28,27,1,2,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",59.52,28.57,34.88,40.48
"[0,4,15,16,17,20,18,19,14,13,12,33,34,32,31,8,10,11,9,5,7,6,29,30,28,27,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,28.57,34.77,40.48
"[0,4,17,16,15,18,20,19,13,12,14,33,34,31,32,11,8,9,10,5,6,7,29,30,28,27,1,3,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,30.95,37.10,42.86
"[0,4,15,17,16,19,18,20,13,12,14,34,33,31,32,9,8,10,11,6,5,7,29,30,28,27,1,3,2,36,37,38,39,40,42,41,26,24,25,21,22,23,35]",59.52,28.57,35.11,40.48
"[0,4,16,15,17,20,18,19,12,13,14,34,33,31,32,11,8,9,10,7,5,6,30,29,28,27,3,2,1,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,26.19,33.94,38.10
"[0,4,17,15,16,20,18,19,12,13,14,34,33,31,32,11,9,8,10,5,7,6,30,29,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,28.57,34.77,38.10
"[0,4,16,15,17,18,19,20,14,12,13,34,33,31,32,11,8,10,9,5,6,7,30,29,28,27,1,2,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,26.19,32.56,38.10
"[0,4,16,15,18,19,20,17,14,12,13,34,33,31,32,9,8,10,11,5,6,7,30,29,28,27,1,3,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,26.19,32.56,38.10
"[0,4,16,17,15,18,20,19,13,12,14,33,34,32,31,8,10,11,9,5,7,6,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,30.95,36.99,42.86
"[0,4,15,16,17,20,18,19,12,13,14,33,34,31,32,10,8,9,11,7,5,6,30,29,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,33.33,38.15,42.86
"[0,4,15,17,16,20,18,19,12,13,14,33,34,32,31,8,9,10,11,6,5,7,30,29,28,27,2,1,3,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",59.52,28.57,33.72,38.10
"[0,4,15,17,16,18,19,20,12,13,14,34,33,31,32,9,8,10,11,6,5,7,29,30,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,30.95,37.15,42.86
"[0,4,15,16,17,20,19,18,14,12,13,33,34,31,32,9,11,8,10,5,6,7,29,30,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,33.33,39.31,42.86
"[0,4,17,15,16,18,19,20,14,12,13,34,33,32,31,8,10,11,9,5,6,7,30,29,28,27,3,1,2,36,37,38,39,40,41,42,26,24,25,21,22,23,35]",59.52,26.19,32.56,38.10
"[0,4,17,15,18,20,19,16,13,12,14,34,33,31,32,8,9,11,10,6,5,7,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,30.95,36.99,40.48
"[0,4,17,15,16,18,19,20,12,13,14,34,33,32,31,8,10,11,9,6,5,7,30,29,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",59.52,28.57,34.88,40.48
"[0,4,16,15,18,19,20,17,14,12,13,34,33,31,32,10,8,9,11,5,6,7,29,30,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,30.95,37.04,40.48
"[0,4,15,16,17,20,18,19,13,12,14,34,33,32,31,8,9,11,10,5,7,6,30,29,28,27,1,2,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",59.52,26.19,32.61,38.10
