Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.26,44.44
"[0,40,41,39,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,8,48,51,11,10,50,49,9,46,54,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,1,5,2,42,43,3]",66.67,31.94,39.16,44.44
"[0,8,48,51,11,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.10,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,5,1,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,31.94,39.10,43.06
"[0,3,43,42,2,6,14,15,7,10,50,51,11,8,48,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,1,5,19,13,27,31,30,18,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,41,40]",66.67,31.94,38.95,43.06
"[0,3,43,42,2,5,1,8,48,11,51,50,10,9,49,46,54,55,47,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,6,14,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,31,27,41,39,40]",66.67,30.56,38.06,41.67
"[0,3,43,42,2,5,1,8,48,51,11,10,50,49,9,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,6,14,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,41,39,40]",66.67,30.56,38.02,43.06
"[0,40,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,8,48,51,11,10,50,49,9,46,54,55,47,44,52,45,59,53,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,5,1,2,42,43,3]",66.67,31.94,37.94,41.67
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,30.56,37.91,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,41,39,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,30.56,37.91,43.06
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,30.56,37.75,41.67
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,41,39,42,2,3,43,40]",66.67,30.56,37.67,41.67
"[0,48,8,11,51,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,5,1,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,41,39,42,2,3,43,40]",66.67,30.56,37.64,41.67
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,5,1,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,27,31,42,2,3,43,40]",66.67,30.56,37.56,41.67
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,30.56,36.90,41.67
"[0,40,43,3,2,42,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,5,1]",66.67,29.17,35.53,40.28
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,23,63,12,4,7,15,14,6,5,1,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",66.67,27.78,35.32,41.67
"[0,3,43,42,2,8,48,51,11,10,50,9,49,46,54,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,39,41,40]",65.28,36.11,43.00,47.22
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,39,41,42,2,3,43,40]",65.28,33.33,40.37,44.44
"[0,5,8,48,51,11,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,39,41,42,2,3,43,40]",65.28,33.33,40.12,44.44
"[0,40,3,43,42,2,1,5,41,39,36,24,25,37,38,26,27,31,30,18,17,29,33,69,68,32,35,71,34,70,66,58,65,57,56,64,67,53,59,45,44,52,55,47,46,54,63,23,22,62,21,61,60,20,16,28,13,19,14,6,7,15,12,4,9,49,50,10,11,51,48,8]",65.28,36.11,39.43,44.44
"[0,8,48,51,11,50,10,9,49,46,54,55,47,44,52,45,59,53,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,39,41,42,2,3,43,40]",65.28,33.33,39.29,43.06
"[0,8,48,11,51,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,31,27,41,39,42,2,3,43,40]",65.28,31.94,39.06,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,5,1,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",65.28,31.94,38.99,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,1,5,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,38,26,27,31,39,41,42,2,3,43,40]",65.28,31.94,38.95,43.06
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,5,1,13,19,27,31,30,18,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,41,42,2,3,43,40]",65.28,31.94,38.87,43.06
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,5,1,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,31,27,39,41,42,2,3,43,40]",65.28,31.94,38.75,43.06
"[0,6,14,15,7,10,50,11,51,48,8,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,1,5,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",65.28,30.56,38.21,43.06
"[0,48,8,11,51,50,10,9,49,46,54,55,47,44,52,53,59,45,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,13,19,31,27,30,18,17,29,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,41,42,2,3,43,40]",65.28,31.94,38.08,41.67
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,20,60,61,21,22,62,63,23,12,4,7,15,14,6,1,5,39,41,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",65.28,31.94,37.98,41.67
"[0,1,5,8,48,51,11,50,10,9,49,46,54,55,47,44,52,53,59,45,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,6,14,19,31,27,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,42,2,3,43,40]",65.28,31.94,37.79,41.67
"[0,5,1,6,14,15,7,10,50,51,11,8,48,9,49,46,54,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,41,39,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",65.28,30.56,37.75,41.67
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,41,39,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",65.28,30.56,37.75,41.67
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,41,39,42,2,3,43,40]",65.28,30.56,37.67,41.67
"[0,8,48,51,11,10,50,49,9,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",65.28,30.56,37.67,41.67
"[0,5,1,48,8,11,51,50,10,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,41,39,42,2,3,43,40]",65.28,30.56,37.60,41.67
"[0,1,5,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,6,14,19,13,31,27,30,18,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,41,42,2,3,43,40]",65.28,30.56,37.36,41.67
"[0,6,14,15,7,10,50,51,11,8,48,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,1,5,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",65.28,30.56,36.86,41.67
"[0,3,43,42,2,6,14,15,7,50,10,11,51,48,8,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,1,5,41,39,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,40]",65.28,29.17,36.82,41.67
"[0,6,14,15,7,10,50,51,11,8,48,49,9,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,1,5,39,41,31,27,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",65.28,29.17,36.52,41.67
"[0,6,14,15,7,10,50,51,11,8,48,49,9,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,1,5,41,39,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",65.28,29.17,36.36,40.28
"[0,40,41,39,27,31,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,1,5,8,48,51,11,10,50,9,49,46,54,55,47,44,52,59,53,45,67,64,56,57,65,66,58,60,20,21,61,62,22,23,63,12,4,7,15,14,6,2,42,43,3]",65.28,30.56,35.96,41.67
"[0,5,1,6,14,15,7,10,50,51,11,8,48,9,49,46,54,55,47,44,52,59,53,45,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,13,19,31,27,30,18,17,29,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,41,42,2,3,43,40]",65.28,30.56,35.74,38.89
"[0,8,48,11,51,50,10,9,49,46,54,55,47,44,52,59,53,45,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,13,19,31,27,30,18,17,29,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,42,2,3,43,40]",65.28,30.56,35.71,38.89
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,62,22,23,63,12,4,7,15,14,6,5,1,39,41,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",65.28,29.17,35.63,41.67
"[0,8,48,51,11,50,10,9,49,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,41,39,42,2,3,43,40]",65.28,29.17,35.32,38.89
"[0,8,48,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,19,13,27,31,30,18,17,29,28,16,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,42,2,3,43,40]",65.28,29.17,35.09,38.89
"[0,3,43,42,2,5,6,14,15,7,10,50,51,11,48,8,9,49,46,54,55,47,44,52,59,53,45,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,1,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,36,24,25,37,38,26,27,31,39,41,40]",65.28,29.17,34.80,38.89
"[0,8,48,51,11,50,10,9,49,46,54,55,47,44,52,59,53,45,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,7,15,14,6,1,5,13,19,31,27,30,18,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,42,2,3,43,40]",65.28,29.17,34.36,37.50
"[0,8,48,51,11,50,10,9,49,46,54,55,47,44,52,53,45,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,38,26,27,31,41,39,42,2,3,43,40]",65.28,29.17,34.30,37.50
"[0,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,23,63,12,4,7,15,14,6,1,5,13,19,31,27,30,18,17,29,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,42,2,3,43,40]",65.28,26.39,34.01,40.28
"[0,8,48,51,11,10,50,49,9,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,41,39,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",65.28,27.78,33.97,37.50
"[0,8,48,51,11,10,50,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,36,24,25,37,38,26,27,31,39,41,42,2,3,43,40]",63.89,31.94,38.99,43.06
"[0,40,43,3,2,42,39,41,38,26,25,37,36,24,31,30,18,17,29,33,69,68,32,35,71,34,70,58,66,65,57,56,64,67,59,53,45,44,52,55,47,46,54,63,23,62,22,21,61,60,20,16,28,27,13,19,5,1,6,14,7,15,12,4,9,49,50,10,11,51,48,8]",63.89,34.72,38.48,44.44
"[0,8,48,51,11,10,50,9,49,46,54,55,47,44,52,59,53,45,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,39,41,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",63.89,33.33,38.33,41.67
"[0,3,43,42,2,1,5,6,14,15,7,50,10,11,51,48,8,9,49,46,54,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,4,12,13,19,27,31,30,18,17,29,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,39,41,40]",63.89,30.56,38.21,43.06
"[0,6,14,15,7,10,50,51,11,48,8,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,1,5,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,42,2,3,43,40]",63.89,30.56,38.18,43.06
"[0,5,8,48,11,51,50,10,9,49,46,54,55,47,44,52,53,59,45,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,41,39,42,2,3,43,40]",63.89,31.94,37.79,41.67
