Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,28,31,3,15,39,30,2,23,47,46,22,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,1,7,29,6,34,20,44,45,21,36,12,18,42,43,19]",62.50,29.17,32.51,37.50
"[0,28,29,1,7,35,34,6,20,44,5,9,33,25,24,8,17,41,40,16,4,32,30,2,23,47,46,22,21,45,10,26,27,11,13,37,38,14,3,31,15,39,36,12,18,42,43,19]",62.50,27.08,32.51,37.50
"[0,28,6,34,44,20,9,5,33,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,21,45,10,26,27,11,13,37,38,14,3,31,15,39,36,12,18,42,43,19]",62.50,27.08,32.47,37.50
"[0,28,29,1,7,35,34,6,44,20,5,33,9,25,24,8,17,41,40,16,4,32,30,2,23,47,46,22,21,45,10,26,27,11,13,37,38,14,3,15,31,39,36,12,18,42,43,19]",62.50,27.08,31.16,35.42
"[0,28,31,3,15,39,2,30,23,47,46,22,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,29,1,7,35,34,6,20,44,45,21,36,12,18,42,43,19]",62.50,27.08,30.95,35.42
"[0,28,29,1,7,35,34,6,20,44,45,21,22,46,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,30,2,47,23,31,15,3,39,36,12,18,42,43,19]",62.50,27.08,30.86,35.42
"[0,28,34,6,20,44,45,21,10,26,25,5,9,33,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,13,11,27,37,38,14,3,15,31,39,36,12,18,42,43,19]",62.50,27.08,30.51,35.42
"[0,28,34,6,20,44,45,21,13,11,37,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,14,38,39,3,15,31,36,12,18,42,43,19]",62.50,27.08,30.51,35.42
"[0,28,15,3,39,31,30,2,23,47,46,22,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,7,1,29,35,34,6,20,44,45,21,36,12,18,42,43,19]",62.50,27.08,30.51,35.42
"[0,28,15,39,3,31,30,2,23,47,46,22,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,1,7,29,34,6,20,44,45,21,36,12,18,42,43,19]",62.50,25.00,30.47,35.42
"[0,28,34,6,20,44,45,21,13,11,37,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,7,1,29,30,2,23,47,46,22,38,14,31,3,15,39,36,12,18,42,43,19]",62.50,25.00,28.56,33.33
"[0,28,29,7,1,35,34,6,20,44,45,21,13,11,37,27,26,10,5,33,9,25,24,8,17,41,40,16,4,32,30,2,23,47,46,22,38,14,3,15,31,39,36,12,18,42,43,19]",62.50,25.00,28.56,33.33
"[0,28,29,1,7,35,34,6,20,44,45,21,13,11,37,27,26,10,5,33,9,25,24,8,17,41,40,16,4,32,30,2,23,47,46,22,38,14,3,15,31,39,36,12,18,42,43,19]",62.50,25.00,28.56,33.33
"[0,28,29,1,7,35,34,6,20,44,45,21,22,46,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,2,30,23,47,3,15,31,39,36,12,18,42,43,19]",60.42,31.25,34.81,39.58
"[0,28,6,34,20,44,21,45,46,22,14,38,37,11,13,27,26,10,33,5,9,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,31,3,15,39,36,12,18,42,43,19]",60.42,31.25,34.42,37.50
"[0,28,29,1,7,35,34,6,20,44,45,21,10,26,25,5,9,33,8,24,27,11,13,37,36,12,18,42,41,17,16,40,4,32,30,2,23,47,46,22,14,38,39,3,15,31,43,19]",60.42,29.17,33.03,37.50
"[0,28,31,15,3,39,2,30,23,47,46,22,14,38,37,13,11,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,1,7,29,34,6,20,44,45,21,12,36,18,42,43,19]",60.42,29.17,32.51,37.50
"[0,28,34,6,20,44,21,45,46,22,14,38,37,13,11,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,3,15,31,39,36,12,18,42,43,19]",60.42,29.17,32.47,37.50
"[0,28,6,34,44,20,33,5,9,25,24,8,17,41,40,16,4,32,35,7,1,29,30,2,23,47,22,46,45,21,10,26,27,13,11,37,38,14,3,15,31,39,36,12,18,42,43,19]",60.42,29.17,32.42,37.50
"[0,1,7,35,34,6,20,44,45,21,22,46,14,38,37,11,13,27,26,10,33,5,9,25,24,8,17,41,40,16,4,32,29,30,2,23,47,31,15,3,39,36,12,18,42,43,19,28]",60.42,27.08,32.29,35.42
"[0,28,7,1,35,34,6,20,44,45,21,37,13,11,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,29,30,2,23,47,46,22,14,38,39,31,3,15,12,36,18,42,43,19]",60.42,29.17,32.16,37.50
"[0,28,29,1,7,35,34,6,44,20,5,9,33,25,24,8,17,41,40,16,4,32,2,30,23,47,46,22,21,45,10,26,27,11,13,37,38,14,3,31,15,39,36,12,18,42,43,19]",60.42,25.00,31.47,37.50
"[0,28,34,6,20,44,45,21,10,26,25,5,9,33,8,24,27,11,13,37,36,12,42,18,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,14,38,39,3,15,31,43,19]",60.42,27.08,31.21,35.42
"[0,28,34,6,20,44,45,21,10,26,25,5,9,33,8,24,27,11,13,37,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,38,14,31,3,15,39,36,12,18,42,43,19]",60.42,27.08,31.16,35.42
"[0,28,34,6,20,44,45,21,10,26,25,5,9,33,8,24,17,41,40,16,4,32,35,7,1,29,30,2,23,47,46,22,13,11,27,37,38,14,31,3,15,39,36,12,18,42,43,19]",60.42,27.08,31.16,35.42
"[0,28,31,3,15,39,2,30,23,47,46,22,14,38,11,13,27,26,10,33,5,9,25,24,8,17,41,40,16,4,32,35,1,7,29,34,6,20,44,45,21,37,36,12,18,42,43,19]",60.42,27.08,30.86,35.42
"[0,28,35,7,1,29,30,2,23,47,46,22,11,27,24,8,17,41,40,16,4,32,25,9,5,33,34,6,20,44,45,21,10,26,13,37,38,14,3,15,31,39,36,12,18,42,43,19]",60.42,27.08,30.47,35.42
"[0,28,6,34,20,44,45,21,10,26,25,5,9,33,40,16,4,32,35,1,7,29,30,2,23,47,46,22,14,38,39,15,3,31,12,36,37,11,13,27,24,8,17,41,18,42,43,19]",58.33,29.17,35.94,39.58
"[0,28,31,3,15,39,2,30,23,47,46,22,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,7,1,29,6,34,20,44,45,21,12,36,18,42,43,19]",58.33,31.25,34.46,39.58
"[0,28,34,6,20,44,45,21,10,26,25,9,5,33,16,40,4,32,35,1,7,29,30,2,23,47,46,22,14,38,39,3,15,31,12,36,37,13,11,27,24,8,17,41,18,42,43,19]",58.33,29.17,34.07,37.50
"[0,28,31,15,3,39,2,30,23,47,46,22,38,14,17,41,40,16,4,32,35,1,7,29,6,34,20,44,45,21,10,26,25,5,33,9,8,24,27,11,13,37,36,12,18,42,43,19]",58.33,29.17,33.42,37.50
"[0,28,34,6,20,44,45,21,10,26,25,5,33,9,8,24,27,11,13,37,36,12,18,42,41,17,16,40,4,32,35,1,7,29,30,2,23,47,46,22,14,38,39,3,15,31,19,43]",58.33,29.17,33.03,37.50
"[0,28,29,35,34,6,20,44,45,21,10,26,25,5,9,33,8,24,27,13,11,37,36,12,18,42,41,17,16,40,4,32,7,1,2,30,23,47,46,22,14,38,39,15,3,31,43,19]",58.33,27.08,32.64,37.50
"[0,28,29,7,1,35,34,6,20,44,45,21,11,13,37,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,30,2,23,47,46,22,14,38,39,3,15,31,12,36,18,42,43,19]",58.33,27.08,32.07,37.50
"[0,28,29,1,7,35,34,6,20,44,45,21,10,26,25,5,9,33,24,8,17,41,40,16,4,32,30,2,23,47,46,22,14,38,39,3,15,31,12,36,37,27,13,11,18,42,43,19]",58.33,27.08,32.03,35.42
"[0,28,29,34,6,20,44,45,21,10,26,25,9,5,33,8,24,27,13,11,37,36,12,18,42,41,17,16,40,4,32,35,7,1,30,2,23,47,46,22,14,38,39,3,15,31,43,19]",58.33,27.08,30.99,35.42
"[0,28,29,7,1,35,34,6,20,44,21,45,46,22,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,2,30,47,23,3,31,15,39,36,12,18,42,43,19]",58.33,25.00,30.77,35.42
"[0,28,29,7,1,35,34,6,44,20,21,45,46,22,14,38,37,13,11,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,2,30,47,23,3,15,31,39,36,12,18,42,43,19]",58.33,27.08,30.64,35.42
"[0,28,29,1,7,35,34,6,20,44,45,21,11,13,37,27,26,10,9,5,33,25,24,8,17,41,40,16,4,32,2,30,23,47,46,22,38,14,31,15,3,39,36,12,18,42,43,19]",58.33,25.00,28.78,33.33
"[0,34,6,20,44,33,5,9,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,22,46,45,21,10,26,27,11,13,37,38,14,3,15,31,39,36,12,18,42,43,19,28]",58.33,25.00,28.47,33.33
"[0,34,6,20,44,45,21,22,46,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,7,1,29,30,2,47,23,31,3,15,39,36,12,18,42,43,19,28]",58.33,22.92,26.87,31.25
"[0,28,29,1,7,35,34,6,20,44,45,21,10,26,25,33,9,5,8,24,27,11,13,37,17,41,40,16,32,4,30,2,23,47,46,22,38,14,15,3,31,39,36,12,18,42,43,19]",58.33,22.92,26.87,31.25
"[0,28,29,1,7,35,30,2,23,47,46,22,11,27,24,8,17,41,40,16,32,4,9,5,25,33,34,6,20,44,45,21,10,26,13,37,38,14,3,15,31,39,36,12,18,42,43,19]",58.33,22.92,26.48,31.25
"[0,28,1,7,35,34,6,20,44,45,21,10,26,9,5,33,25,24,8,17,41,40,16,32,4,29,30,2,23,47,46,22,27,13,11,37,38,14,31,3,15,39,36,12,18,42,43,19]",58.33,22.92,26.48,29.17
"[0,34,6,20,44,45,21,13,11,37,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,38,14,31,15,3,39,36,12,18,42,43,19,28]",58.33,20.83,24.48,29.17
"[0,28,29,1,7,35,34,6,20,44,45,21,10,26,25,33,9,5,24,8,17,41,40,16,32,4,30,2,23,47,46,22,27,13,11,37,38,14,15,3,31,39,36,12,18,42,43,19]",58.33,18.75,24.39,27.08
"[0,28,6,34,20,44,45,21,10,26,25,9,5,33,16,40,4,32,35,1,7,29,30,2,23,47,46,22,14,38,39,15,31,3,12,36,37,13,11,27,24,8,17,41,18,42,43,19]",56.25,31.25,35.98,39.58
"[0,28,29,6,34,20,44,45,21,26,10,5,33,9,25,24,8,17,41,40,16,4,32,35,1,7,2,30,23,47,46,22,14,38,39,3,15,31,12,36,37,11,13,27,18,42,43,19]",56.25,29.17,34.38,39.58
"[0,28,29,1,7,6,34,20,44,45,21,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,2,30,23,47,46,22,14,38,39,3,15,31,12,36,37,27,11,13,18,42,43,19]",56.25,29.17,34.38,39.58
"[0,28,3,15,39,31,30,2,23,47,46,22,38,14,17,41,40,16,4,32,35,7,1,29,6,34,20,44,45,21,10,26,25,9,5,33,8,24,27,11,13,37,36,12,18,42,43,19]",56.25,29.17,32.99,37.50
"[0,28,29,1,7,35,34,6,20,44,45,21,11,13,37,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,2,30,23,47,46,22,14,38,39,3,15,31,12,36,18,42,43,19]",56.25,27.08,32.42,37.50
"[0,28,29,6,34,20,44,45,21,10,26,33,5,9,25,24,8,17,41,40,16,4,32,35,7,1,2,30,23,47,46,22,11,13,27,37,38,14,3,15,31,39,36,12,18,42,43,19]",56.25,27.08,32.03,35.42
"[0,28,29,7,6,34,20,44,45,21,46,22,14,38,37,11,13,27,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,1,2,30,23,47,3,15,31,39,36,12,18,42,43,19]",56.25,27.08,32.03,35.42
"[0,28,29,1,7,6,34,20,44,45,21,26,10,5,9,33,25,24,8,17,41,40,16,4,32,35,2,30,23,47,46,22,11,13,27,37,38,14,3,15,31,39,36,12,18,42,43,19]",56.25,27.08,30.77,35.42
"[0,28,29,1,7,6,34,20,44,45,21,46,22,14,38,37,11,13,27,26,10,33,9,5,25,24,8,17,41,40,16,4,32,35,2,30,47,23,3,15,31,39,36,12,18,42,43,19]",56.25,27.08,30.69,33.33
"[0,28,1,35,34,6,20,44,45,21,10,26,25,5,33,9,16,40,32,4,7,29,30,2,23,47,46,22,14,38,39,31,3,15,12,36,37,11,13,27,24,8,41,17,18,42,43,19]",56.25,27.08,30.34,33.33
"[0,28,35,34,6,20,44,45,21,10,26,25,5,9,33,8,24,27,11,13,37,17,41,40,16,32,4,1,7,29,30,2,23,47,46,22,14,38,31,15,3,39,36,12,18,42,43,19]",56.25,25.00,29.08,33.33
"[0,28,29,34,6,20,44,45,21,10,26,25,9,5,33,8,24,27,13,37,11,17,41,40,16,4,32,35,7,1,2,30,23,47,46,22,38,14,31,3,15,39,36,12,18,42,43,19]",56.25,25.00,28.78,33.33
"[0,28,29,7,1,35,34,6,20,44,45,21,26,10,33,5,9,25,24,8,17,41,40,16,32,4,2,30,23,47,46,22,11,13,27,37,38,14,3,15,31,39,36,12,18,42,43,19]",56.25,20.83,24.83,29.17
"[0,1,7,35,34,6,20,44,45,21,13,11,37,27,26,10,9,5,33,25,24,8,17,41,40,16,32,4,29,30,2,23,47,46,22,38,14,3,15,31,39,36,12,18,42,43,19,28]",56.25,18.75,22.35,27.08
"[0,35,7,1,29,30,2,23,47,46,22,13,11,27,24,8,17,41,40,16,32,4,5,9,25,33,34,6,20,44,45,21,26,10,37,38,14,31,15,3,39,36,12,18,42,43,19,28]",56.25,16.67,21.53,25.00
"[0,34,6,20,44,45,21,10,26,25,5,9,33,8,24,27,13,11,37,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,14,38,39,3,15,31,12,36,18,42,43,19,28]",54.17,27.08,30.69,33.33
"[0,34,6,20,44,45,21,10,26,25,5,9,33,8,24,27,11,13,37,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,14,38,39,31,15,3,12,36,18,42,43,19,28]",54.17,27.08,30.64,33.33
"[0,1,7,6,34,20,44,45,21,10,26,33,5,9,25,24,8,17,41,40,16,4,32,35,29,30,2,23,47,46,22,11,13,27,37,38,14,3,15,31,39,36,12,18,42,43,19,28]",54.17,27.08,30.21,35.42
"[0,6,34,20,44,45,21,11,13,37,27,26,10,9,5,33,25,24,8,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,14,38,15,3,31,39,36,12,18,42,43,19,28]",54.17,25.00,28.26,31.25
"[0,34,6,20,44,45,21,10,26,25,5,9,33,8,24,27,11,13,37,36,12,42,18,17,41,40,16,4,32,35,1,7,29,30,2,23,47,46,22,14,38,39,31,15,3,19,43,28]",54.17,22.92,27.13,31.25
"[0,35,1,7,29,30,2,23,47,46,22,14,38,39,15,3,31,12,36,37,11,13,27,24,8,17,41,40,16,32,4,5,9,25,33,34,6,20,44,45,21,10,26,18,42,43,19,28]",54.17,22.92,27.08,31.25
"[0,28,29,7,1,35,34,6,20,44,45,21,10,26,25,33,9,5,40,16,32,4,2,30,23,47,46,22,14,38,39,15,3,31,12,36,37,11,13,27,24,8,41,17,18,42,43,19]",54.17,18.75,26.61,31.25
"[0,15,3,39,31,30,2,23,47,46,22,14,38,27,26,10,9,5,33,25,24,8,17,41,40,16,4,32,1,7,29,35,34,6,20,44,45,21,11,13,37,36,12,18,42,43,19,28]",54.17,22.92,26.35,29.17
"[0,1,7,35,29,30,2,23,47,46,22,11,13,27,24,8,17,41,40,16,4,32,5,9,25,33,34,6,20,44,45,21,26,10,37,38,14,3,15,31,39,36,12,18,42,43,19,28]",54.17,22.92,26.26,31.25
"[0,7,1,6,34,20,44,45,21,10,26,25,9,33,5,24,8,17,41,40,16,4,32,35,29,30,2,23,47,46,22,27,13,11,37,38,14,31,15,3,39,36,12,18,42,43,19,28]",54.17,20.83,25.39,29.17
"[0,1,6,34,20,44,45,21,10,26,25,33,9,5,40,16,4,32,35,7,29,30,2,23,47,46,22,14,38,39,31,3,15,12,36,37,13,11,27,24,8,17,41,42,18,43,19,28]",52.08,25.00,28.91,33.33
"[0,15,39,3,31,30,2,23,47,46,22,14,38,37,13,11,17,41,40,16,4,32,35,1,7,29,6,34,20,44,45,21,10,26,25,5,9,33,8,24,27,36,12,18,42,43,19,28]",52.08,25.00,28.91,33.33
"[0,3,15,39,31,30,2,23,47,46,22,14,38,37,13,11,17,41,40,16,4,32,35,29,7,1,6,34,20,44,45,21,10,26,25,33,9,5,8,24,27,12,36,18,42,43,19,28]",50.00,27.08,31.16,35.42
