Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29,52]",74.55,43.64,48.57,58.18
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,52,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29]",74.55,38.18,43.93,56.36
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,28,53,43,44,29,52]",74.55,41.82,46.98,56.36
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,52,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,28,53,43,44,29]",74.55,43.64,48.93,61.82
"[0,33,2,13,35,4,5,6,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,52,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29]",74.55,45.45,50.52,60.00
"[0,33,2,13,35,4,5,6,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29,26,52]",74.55,43.64,48.44,54.55
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29,52]",74.55,40.00,45.32,54.55
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29,52]",74.55,45.45,50.29,60.00
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,28,53,43,44,29,26,52]",74.55,45.45,50.29,58.18
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,52,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,28,53,43,44,29]",74.55,43.64,48.90,61.82
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29,26,52]",74.55,45.45,49.74,56.36
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,52,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29]",74.55,45.45,49.42,60.00
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,28,53,43,44,29,26,52]",74.55,41.82,46.82,54.55
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,52,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29]",76.36,43.64,49.03,61.82
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,28,53,43,44,29,26,52]",76.36,43.64,48.77,56.36
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29,26,52]",76.36,45.45,50.39,58.18
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29,52]",76.36,43.64,48.77,58.18
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29,26,52]",76.36,41.82,47.11,54.55
"[0,33,2,13,35,4,5,6,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,52,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,28,53,43,44,29]",76.36,43.64,48.99,60.00
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,52,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29]",76.36,41.82,47.69,60.00
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29,26,52]",76.36,41.82,47.08,54.55
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29,26,52]",76.36,45.45,50.36,58.18
"[0,33,2,13,35,4,5,6,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,52,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29]",76.36,47.27,52.31,63.64
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29,26,52]",78.18,43.64,48.80,56.36
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,52,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29]",78.18,43.64,49.16,61.82
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,38,19,20,40,18,39,10,51,14,12,15,16,17,52,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29]",78.18,47.27,52.47,65.45
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,52,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,28,53,43,44,29]",78.18,43.64,49.16,61.82
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29,26,52]",78.18,43.64,48.83,56.36
"[0,33,2,13,35,5,6,4,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,52,26,25,24,42,22,41,21,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,44,28,53,43,29]",78.18,43.64,49.22,61.82
"[0,33,2,13,35,4,5,6,7,32,8,36,9,37,11,19,20,40,18,39,38,10,51,14,12,15,16,17,52,26,25,24,42,21,22,41,50,23,54,27,49,45,30,46,55,34,1,3,48,31,47,53,43,44,28,29]",78.18,43.64,49.06,60.00
